yourlist:M20210831A084FC58F6BBA219896F365D15F2EB441669B00	Entry	Entry name	Protein names	Gene names	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)
P86790	P86790	CCZ1B_HUMAN	Vacuolar fusion protein CCZ1 homolog B (Vacuolar fusion protein CCZ1 homolog-like)	CCZ1B C7orf28B	vesicle-mediated transport [GO:0016192]		intracellular membrane-bounded organelle [GO:0043231]; lysosomal membrane [GO:0005765]; Mon1-Ccz1 complex [GO:0035658]
P98171	P98171	RHG04_HUMAN	Rho GTPase-activating protein 4 (Rho-GAP hematopoietic protein C1) (Rho-type GTPase-activating protein 4) (p115)	ARHGAP4 KIAA0131 RGC1 RHOGAP4	cytoskeleton organization [GO:0007010]; negative regulation of axon extension [GO:0030517]; negative regulation of cell migration [GO:0030336]; negative regulation of fibroblast migration [GO:0010764]; regulation of small GTPase mediated signal transduction [GO:0051056]; Rho protein signal transduction [GO:0007266]	GTPase activator activity [GO:0005096]; identical protein binding [GO:0042802]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; growth cone [GO:0030426]; microtubule [GO:0005874]
Q00839	Q00839	HNRPU_HUMAN	Heterogeneous nuclear ribonucleoprotein U (hnRNP U) (GRIP120) (Nuclear p120 ribonucleoprotein) (Scaffold-attachment factor A) (SAF-A) (p120) (pp120)	HNRNPU C1orf199 HNRPU SAFA U21.1	adaptive thermogenesis [GO:1990845]; cardiac muscle cell development [GO:0055013]; cell cycle [GO:0007049]; cell division [GO:0051301]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to leukemia inhibitory factor [GO:1990830]; chromatin organization [GO:0006325]; circadian regulation of gene expression [GO:0032922]; CRD-mediated mRNA stabilization [GO:0070934]; dendritic transport of messenger ribonucleoprotein complex [GO:0098963]; dosage compensation by inactivation of X chromosome [GO:0009048]; maintenance of protein location in nucleus [GO:0051457]; mRNA splicing, via spliceosome [GO:0000398]; mRNA stabilization [GO:0048255]; negative regulation of kinase activity [GO:0033673]; negative regulation of stem cell differentiation [GO:2000737]; negative regulation of telomere maintenance via telomerase [GO:0032211]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription elongation from RNA polymerase II promoter [GO:0034244]; osteoblast differentiation [GO:0001649]; positive regulation of attachment of mitotic spindle microtubules to kinetochore [GO:1902425]; positive regulation of brown fat cell differentiation [GO:0090336]; positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity [GO:2000373]; positive regulation of stem cell proliferation [GO:2000648]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein localization to spindle microtubule [GO:1902889]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of chromatin organization [GO:1902275]; regulation of mitotic cell cycle [GO:0007346]; regulation of mitotic spindle assembly [GO:1901673]; RNA localization to chromatin [GO:1990280]; RNA metabolic process [GO:0016070]; RNA processing [GO:0006396]; viral process [GO:0016032]	actin binding [GO:0003779]; ATP binding [GO:0005524]; chromatin binding [GO:0003682]; chromatin DNA binding [GO:0031490]; DNA binding [GO:0003677]; double-stranded DNA binding [GO:0003690]; double-stranded RNA binding [GO:0003725]; identical protein binding [GO:0042802]; mRNA 3'-UTR binding [GO:0003730]; poly(A) binding [GO:0008143]; poly(C) RNA binding [GO:0017130]; poly(G) binding [GO:0034046]; pre-mRNA binding [GO:0036002]; promoter-specific chromatin binding [GO:1990841]; protein-containing complex binding [GO:0044877]; ribonucleoprotein complex binding [GO:0043021]; RNA binding [GO:0003723]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II complex binding [GO:0000993]; RNA polymerase II C-terminal domain binding [GO:0099122]; sequence-specific double-stranded DNA binding [GO:1990837]; single-stranded DNA binding [GO:0003697]; single-stranded RNA binding [GO:0003727]; snRNA binding [GO:0017069]; telomerase RNA binding [GO:0070034]; TFIIH-class transcription factor complex binding [GO:0001097]; transcription corepressor activity [GO:0003714]	catalytic step 2 spliceosome [GO:0071013]; cell surface [GO:0009986]; centrosome [GO:0005813]; condensed chromosome kinetochore [GO:0000777]; CRD-mediated mRNA stability complex [GO:0070937]; cytoplasmic ribonucleoprotein granule [GO:0036464]; dendrite cytoplasm [GO:0032839]; inactive sex chromosome [GO:0098577]; kinetochore [GO:0000776]; membrane [GO:0016020]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; mitotic spindle microtubule [GO:1990498]; mitotic spindle midzone [GO:1990023]; nuclear chromosome [GO:0000228]; nuclear matrix [GO:0016363]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; ribonucleoprotein complex [GO:1990904]; spindle pole [GO:0000922]; telomerase holoenzyme complex [GO:0005697]
Q01105	Q01105	SET_HUMAN	Protein SET (HLA-DR-associated protein II) (Inhibitor of granzyme A-activated DNase) (IGAAD) (PHAPII) (Phosphatase 2A inhibitor I2PP2A) (I-2PP2A) (Template-activating factor I) (TAF-I)	SET	DNA replication [GO:0006260]; mitotic chromosome condensation [GO:0007076]; negative regulation of histone acetylation [GO:0035067]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of transcription, DNA-templated [GO:0045892]; nucleosome assembly [GO:0006334]; nucleosome disassembly [GO:0006337]; regulation of mRNA stability [GO:0043488]; viral process [GO:0016032]	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; histone binding [GO:0042393]; protein phosphatase inhibitor activity [GO:0004864]; protein phosphatase regulator activity [GO:0019888]	chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; lipid droplet [GO:0005811]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; protein-containing complex [GO:0032991]
Q01130	Q01130	SRSF2_HUMAN	Serine/arginine-rich splicing factor 2 (Protein PR264) (Splicing component, 35 kDa) (Splicing factor SC35) (SC-35) (Splicing factor, arginine/serine-rich 2)	SRSF2 SFRS2	mRNA 3'-end processing [GO:0031124]; mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA export from nucleus [GO:0006405]; RNA splicing [GO:0008380]	RNA binding [GO:0003723]; transcription corepressor activity [GO:0003714]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q01196	Q01196	RUNX1_HUMAN	Runt-related transcription factor 1 (Acute myeloid leukemia 1 protein) (Core-binding factor subunit alpha-2) (CBF-alpha-2) (Oncogene AML-1) (Polyomavirus enhancer-binding protein 2 alpha B subunit) (PEA2-alpha B) (PEBP2-alpha B) (SL3-3 enhancer factor 1 alpha B subunit) (SL3/AKV core-binding factor alpha B subunit)	RUNX1 AML1 CBFA2	cardiac muscle tissue regeneration [GO:0061026]; chondrocyte differentiation [GO:0002062]; hematopoietic stem cell proliferation [GO:0071425]; hemopoiesis [GO:0030097]; myeloid cell differentiation [GO:0030099]; myeloid leukocyte differentiation [GO:0002573]; negative regulation of CD4-positive, alpha-beta T cell differentiation [GO:0043371]; negative regulation of gene expression [GO:0010629]; negative regulation of granulocyte differentiation [GO:0030853]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuron differentiation [GO:0030182]; ossification [GO:0001503]; peripheral nervous system neuron development [GO:0048935]; positive regulation of angiogenesis [GO:0045766]; positive regulation of CD8-positive, alpha-beta T cell differentiation [GO:0043378]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of extracellular matrix organization [GO:1903055]; positive regulation of granulocyte differentiation [GO:0030854]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of B cell receptor signaling pathway [GO:0050855]; regulation of bicellular tight junction assembly [GO:2000810]; regulation of cardiac muscle cell proliferation [GO:0060043]; regulation of cell differentiation [GO:0045595]; regulation of connective tissue replacement [GO:1905203]; regulation of cytokine-mediated signaling pathway [GO:0001959]; regulation of hematopoietic stem cell differentiation [GO:1902036]; regulation of intracellular estrogen receptor signaling pathway [GO:0033146]; regulation of keratinocyte differentiation [GO:0045616]; regulation of megakaryocyte differentiation [GO:0045652]; regulation of myeloid cell differentiation [GO:0045637]; regulation of plasminogen activation [GO:0010755]; regulation of regulatory T cell differentiation [GO:0045589]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of Wnt signaling pathway [GO:0030111]	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; transcription factor binding [GO:0008134]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	chromatin [GO:0000785]; core-binding factor complex [GO:0016513]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q01433	Q01433	AMPD2_HUMAN	AMP deaminase 2 (EC 3.5.4.6) (AMP deaminase isoform L)	AMPD2	AMP metabolic process [GO:0046033]; cyclic purine nucleotide metabolic process [GO:0052652]; energy homeostasis [GO:0097009]; IMP biosynthetic process [GO:0006188]; IMP salvage [GO:0032264]; purine-containing compound salvage [GO:0043101]	AMP deaminase activity [GO:0003876]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]	cytosol [GO:0005829]
Q01518	Q01518	CAP1_HUMAN	Adenylyl cyclase-associated protein 1 (CAP 1)	CAP1 CAP	actin cytoskeleton organization [GO:0030036]; activation of adenylate cyclase activity [GO:0007190]; ameboidal-type cell migration [GO:0001667]; cAMP-mediated signaling [GO:0019933]; cell morphogenesis [GO:0000902]; establishment or maintenance of cell polarity [GO:0007163]; neutrophil degranulation [GO:0043312]; receptor-mediated endocytosis [GO:0006898]; regulation of adenylate cyclase activity [GO:0045761]; signal transduction [GO:0007165]	actin binding [GO:0003779]; adenylate cyclase binding [GO:0008179]	azurophil granule lumen [GO:0035578]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; focal adhesion [GO:0005925]; plasma membrane [GO:0005886]
Q01543	Q01543	FLI1_HUMAN	Friend leukemia integration 1 transcription factor (Proto-oncogene Fli-1) (Transcription factor ERGB)	FLI1	animal organ morphogenesis [GO:0009887]; blood circulation [GO:0008015]; cell differentiation [GO:0030154]; hemostasis [GO:0007599]; megakaryocyte development [GO:0035855]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of transcription by RNA polymerase II [GO:0006357]	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	chromatin [GO:0000785]; cytosol [GO:0005829]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q01581	Q01581	HMCS1_HUMAN	Hydroxymethylglutaryl-CoA synthase, cytoplasmic (HMG-CoA synthase) (EC 2.3.3.10) (3-hydroxy-3-methylglutaryl coenzyme A synthase)	HMGCS1 HMGCS	acetyl-CoA metabolic process [GO:0006084]; brain development [GO:0007420]; cellular response to cholesterol [GO:0071397]; cellular response to follicle-stimulating hormone stimulus [GO:0071372]; cellular response to low-density lipoprotein particle stimulus [GO:0071404]; cholesterol biosynthetic process [GO:0006695]; farnesyl diphosphate biosynthetic process, mevalonate pathway [GO:0010142]; lipid metabolic process [GO:0006629]; liver development [GO:0001889]; male gonad development [GO:0008584]; regulation of lipid metabolic process [GO:0019216]; regulation of metabolic process [GO:0019222]; response to drug [GO:0042493]; response to low light intensity stimulus [GO:0009645]; response to purine-containing compound [GO:0014074]; response to tellurium ion [GO:0046690]; response to vitamin E [GO:0033197]	hydroxymethylglutaryl-CoA synthase activity [GO:0004421]; isomerase activity [GO:0016853]; organic acid binding [GO:0043177]; protein homodimerization activity [GO:0042803]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
Q01826	Q01826	SATB1_HUMAN	DNA-binding protein SATB1 (Special AT-rich sequence-binding protein 1)	SATB1	chromatin organization [GO:0006325]; chromatin remodeling [GO:0006338]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of transcription by RNA polymerase II [GO:0006357]; viral process [GO:0016032]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; double-stranded DNA binding [GO:0003690]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]	chromatin [GO:0000785]; nuclear body [GO:0016604]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]
Q02543	Q02543	RL18A_HUMAN	60S ribosomal protein L18a (Large ribosomal subunit protein eL20)	RPL18A	cytoplasmic translation [GO:0002181]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; membrane [GO:0016020]; polysomal ribosome [GO:0042788]
Q04837	Q04837	SSBP_HUMAN	Single-stranded DNA-binding protein, mitochondrial (Mt-SSB) (MtSSB) (PWP1-interacting protein 17)	SSBP1 SSBP	DNA unwinding involved in DNA replication [GO:0006268]; mitochondrial DNA replication [GO:0006264]; mitochondrion morphogenesis [GO:0070584]; mitochondrion organization [GO:0007005]; positive regulation of DNA helicase activity [GO:1905776]; positive regulation of helicase activity [GO:0051096]	chromatin binding [GO:0003682]; identical protein binding [GO:0042802]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]	extracellular exosome [GO:0070062]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; nucleoid [GO:0009295]; nucleus [GO:0005634]
Q05209	Q05209	PTN12_HUMAN	Tyrosine-protein phosphatase non-receptor type 12 (EC 3.1.3.48) (PTP-PEST) (Protein-tyrosine phosphatase G1) (PTPG1)	PTPN12	cellular response to cytokine stimulus [GO:0071345]; cellular response to epidermal growth factor stimulus [GO:0071364]; ERBB2 signaling pathway [GO:0038128]; negative regulation of ERBB signaling pathway [GO:1901185]; negative regulation of platelet-derived growth factor receptor-beta signaling pathway [GO:2000587]; peptidyl-tyrosine dephosphorylation [GO:0035335]; protein dephosphorylation [GO:0006470]; regulation of epidermal growth factor receptor signaling pathway [GO:0042058]; tissue regeneration [GO:0042246]	non-membrane spanning protein tyrosine phosphatase activity [GO:0004726]; phosphoprotein phosphatase activity [GO:0004721]; protein tyrosine phosphatase activity [GO:0004725]; SH3 domain binding [GO:0017124]	cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; podosome [GO:0002102]
Q05519	Q05519	SRS11_HUMAN	Serine/arginine-rich splicing factor 11 (Arginine-rich 54 kDa nuclear protein) (p54) (Splicing factor, arginine/serine-rich 11)	SRSF11 SFRS11	mRNA 3'-end processing [GO:0031124]; mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; RNA export from nucleus [GO:0006405]; RNA splicing [GO:0008380]	identical protein binding [GO:0042802]; RNA binding [GO:0003723]	nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q05655	Q05655	KPCD_HUMAN	Protein kinase C delta type (EC 2.7.11.13) (Tyrosine-protein kinase PRKCD) (EC 2.7.10.2) (nPKC-delta) [Cleaved into: Protein kinase C delta type regulatory subunit; Protein kinase C delta type catalytic subunit (Sphingosine-dependent protein kinase-1) (SDK1)]	PRKCD PKCD	activation of protein kinase activity [GO:0032147]; apoptotic process [GO:0006915]; B cell proliferation [GO:0042100]; cell chemotaxis [GO:0060326]; cell cycle [GO:0007049]; cellular response to angiotensin [GO:1904385]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to hydroperoxide [GO:0071447]; cellular response to UV [GO:0034644]; cellular senescence [GO:0090398]; defense response to bacterium [GO:0042742]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; histone phosphorylation [GO:0016572]; immunoglobulin mediated immune response [GO:0016064]; interferon-gamma-mediated signaling pathway [GO:0060333]; intracellular signal transduction [GO:0035556]; intrinsic apoptotic signaling pathway in response to oxidative stress [GO:0008631]; negative regulation of actin filament polymerization [GO:0030837]; negative regulation of filopodium assembly [GO:0051490]; negative regulation of glial cell apoptotic process [GO:0034351]; negative regulation of inflammatory response [GO:0050728]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of peptidyl-tyrosine phosphorylation [GO:0050732]; negative regulation of platelet aggregation [GO:0090331]; negative regulation of protein binding [GO:0032091]; neutrophil activation [GO:0042119]; neutrophil degranulation [GO:0043312]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; platelet activation [GO:0030168]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of ceramide biosynthetic process [GO:2000304]; positive regulation of endodeoxyribonuclease activity [GO:0032079]; positive regulation of glucosylceramide catabolic process [GO:2000753]; positive regulation of phospholipid scramblase activity [GO:1900163]; positive regulation of protein dephosphorylation [GO:0035307]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of response to DNA damage stimulus [GO:2001022]; positive regulation of sphingomyelin catabolic process [GO:2000755]; positive regulation of superoxide anion generation [GO:0032930]; protein phosphorylation [GO:0006468]; protein stabilization [GO:0050821]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of ceramide biosynthetic process [GO:2000303]; regulation of mRNA stability [GO:0043488]; regulation of signaling receptor activity [GO:0010469]; signal transduction [GO:0007165]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; termination of signal transduction [GO:0023021]	ATP binding [GO:0005524]; calcium-dependent protein kinase C activity [GO:0004698]; calcium-independent protein kinase C activity [GO:0004699]; enzyme activator activity [GO:0008047]; enzyme binding [GO:0019899]; insulin receptor substrate binding [GO:0043560]; kinase binding [GO:0019900]; metal ion binding [GO:0046872]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein kinase C activity [GO:0004697]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	azurophil granule lumen [GO:0035578]; cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endolysosome [GO:0036019]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; mitochondrion [GO:0005739]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
Q05D32	Q05D32	CTSL2_HUMAN	CTD small phosphatase-like protein 2 (CTDSP-like 2) (EC 3.1.3.-)	CTDSPL2 HSPC058 HSPC129	negative regulation of BMP signaling pathway [GO:0030514]; positive regulation of protein export from nucleus [GO:0046827]	phosphoprotein phosphatase activity [GO:0004721]; RNA polymerase II CTD heptapeptide repeat phosphatase activity [GO:0008420]	nucleoplasm [GO:0005654]
Q07960	Q07960	RHG01_HUMAN	Rho GTPase-activating protein 1 (CDC42 GTPase-activating protein) (GTPase-activating protein rhoGAP) (Rho-related small GTPase protein activator) (Rho-type GTPase-activating protein 1) (p50-RhoGAP)	ARHGAP1 CDC42GAP RHOGAP1	endosomal transport [GO:0016197]; negative regulation of endocytic recycling [GO:2001136]; regulation of small GTPase mediated signal transduction [GO:0051056]; Rho protein signal transduction [GO:0007266]; small GTPase mediated signal transduction [GO:0007264]; transferrin transport [GO:0033572]	cadherin binding [GO:0045296]; GTPase activator activity [GO:0005096]; SH3 domain binding [GO:0017124]; small GTPase binding [GO:0031267]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; perinuclear region of cytoplasm [GO:0048471]
Q08170	Q08170	SRSF4_HUMAN	Serine/arginine-rich splicing factor 4 (Pre-mRNA-splicing factor SRP75) (SRP001LB) (Splicing factor, arginine/serine-rich 4)	SRSF4 SFRS4 SRP75	mRNA 3'-end processing [GO:0031124]; mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; response to insulin [GO:0032868]; RNA export from nucleus [GO:0006405]; RNA splicing [GO:0008380]; RNA splicing, via transesterification reactions [GO:0000375]	mRNA binding [GO:0003729]; RNA binding [GO:0003723]; sequence-specific mRNA binding [GO:1990825]	nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q08945	Q08945	SSRP1_HUMAN	FACT complex subunit SSRP1 (Chromatin-specific transcription elongation factor 80 kDa subunit) (Facilitates chromatin transcription complex 80 kDa subunit) (FACT 80 kDa subunit) (FACTp80) (Facilitates chromatin transcription complex subunit SSRP1) (Recombination signal sequence recognition protein 1) (Structure-specific recognition protein 1) (hSSRP1) (T160)	SSRP1 FACT80	DNA repair [GO:0006281]; DNA replication [GO:0006260]; regulation of chromatin organization [GO:1902275]; regulation of signal transduction by p53 class mediator [GO:1901796]; transcription by RNA polymerase II [GO:0006366]; transcription elongation from RNA polymerase II promoter [GO:0006368]; viral process [GO:0016032]	DNA binding [GO:0003677]; histone binding [GO:0042393]; nucleosome binding [GO:0031491]; RNA binding [GO:0003723]	FACT complex [GO:0035101]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]
Q09161	Q09161	NCBP1_HUMAN	Nuclear cap-binding protein subunit 1 (80 kDa nuclear cap-binding protein) (CBP80) (NCBP 80 kDa subunit)	NCBP1 CBP80 NCBP	7-methylguanosine mRNA capping [GO:0006370]; fibroblast growth factor receptor signaling pathway [GO:0008543]; gene silencing by RNA [GO:0031047]; histone mRNA metabolic process [GO:0008334]; mRNA 3'-end processing [GO:0031124]; mRNA cis splicing, via spliceosome [GO:0045292]; mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; nuclear export [GO:0051168]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of cell growth [GO:0030307]; positive regulation of mRNA 3'-end processing [GO:0031442]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; positive regulation of RNA binding [GO:1905216]; pre-mRNA cleavage required for polyadenylation [GO:0098789]; regulation of mRNA processing [GO:0050684]; regulation of translational initiation [GO:0006446]; RNA catabolic process [GO:0006401]; RNA export from nucleus [GO:0006405]; RNA metabolic process [GO:0016070]; RNA splicing [GO:0008380]; snRNA transcription by RNA polymerase II [GO:0042795]; spliceosomal complex assembly [GO:0000245]; termination of RNA polymerase II transcription [GO:0006369]; transcription by RNA polymerase II [GO:0006366]; transcription elongation from RNA polymerase II promoter [GO:0006368]	mRNA binding [GO:0003729]; RNA 7-methylguanosine cap binding [GO:0000340]; RNA binding [GO:0003723]; RNA cap binding [GO:0000339]	cytosol [GO:0005829]; mitochondrion [GO:0005739]; mRNA cap binding complex [GO:0005845]; nuclear cap binding complex [GO:0005846]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; RNA cap binding complex [GO:0034518]
